fecha,PT_U,PEA_U,PET_U,PT_R,PEA_R,PET_R,T_P_G_U,T_P_B_U,T_P_G_R,T_P_B_R
01/12/2009,9356685,4397247,6808634,4724375,2151690,3224082,47.00,64.58,45.54,66.74
01/06/2010,9406062,4414069,6900281,4774472,2168390,3247105,46.93,63.97,45.42,66.78
01/12/2010,9475345,4318937,6976934,4804340,2117320,3314567,45.58,61.90,44.07,63.88
01/06/2011,9544628,4380711,7110864,4834209,2173078,3365121,45.90,61.61,44.95,64.58
01/12/2011,9610538,4436865,7104184,4867591,2144756,3428819,46.17,62.45,44.06,62.55
01/06/2012,9679099,4578419,7207069,4899633,2292423,3466289,47.30,63.53,46.79,66.13
01/12/2012,9745918,4504356,7322550,4936638,2196658,3541598,46.22,61.51,44.50,62.02
01/06/2013,9815388,4607495,7393452,4972303,2392250,3600087,46.94,62.32,48.11,66.45
01/12/2013,10721616,4710148,7717723,5151139,2242838,3482647,43.93,61.03,43.54,64.40
01/06/2014,10836812,4804595,7759256,5190654,2163152,3477537,44.34,61.92,41.67,62.20
01/12/2014,10952870,4868701,7724070,5195778,2325820,3435185,44.45,63.03,44.76,67.71
01/06/2015,11067830,4985705,7826012,5211422,2444996,3456072,45.05,63.71,46.92,70.74
01/12/2015,11154183,5129995,7937476,5250348,2368533,3461800,45.99,64.63,45.11,68.42
01/06/2016,11285239,5239706,8051323,5275503,2592275,3505962,46.43,65.08,49.14,73.94
01/12/2016,11366255,5318281,8142577,5348674,2555740,3553554,46.79,65.31,47.78,71.92
01/06/2017,11385717,5439733,8276510,5360370,2707830,3579910,47.78,65.72,50.52,75.64
01/12/2017,11576222,5489389,8335580,5385705,2596659,3602348,47.42,65.85,48.21,72.08
01/06/2018,11625674,5290872,8371592,5428849,2687997,3652255,45.51,63.20,49.51,73.60
01/12/2018,11748197,5384306,8534515,5475345,2642824,3704508,45.83,63.09,48.27,71.34
01/06/2019,11799598,5427660,8573161,5533396,2804289,3743033,46.00,63.31,50.68,74.92
01/12/2019,11904109,5384696,8646635,5550451,2714334,3755930,45.23,62.28,48.90,72.27
01/06/2020,11983907,5371802,8704896,5591145,2719808,3783286,44.83,61.71,48.64,71.89
01/12/2020,12063706,5358909,8763156,5631839,2725282,3810643,44.42,61.15,48.39,71.52
01/06/2021,12146012,5536162,8822944,5670264,2796494,3836642,45.58,62.75,49.32,72.89
