date,T_P_G_U,T_P_B_U,T_P_G_R,T_P_B_R
20091201,47.00,64.58,45.54,66.74
20100601,46.93,63.97,45.42,66.78
20101201,45.58,61.90,44.07,63.88
20110601,45.90,61.61,44.95,64.58
20111201,46.17,62.45,44.06,62.55
20120601,47.30,63.53,46.79,66.13
20121201,46.22,61.51,44.50,62.02
20130601,46.94,62.32,48.11,66.45
20131201,43.93,61.03,43.54,64.40
20140601,44.34,61.92,41.67,62.20
20141201,44.45,63.03,44.76,67.71
20150601,45.05,63.71,46.92,70.74
20151201,45.99,64.63,45.11,68.42
20160601,46.43,65.08,49.14,73.94
20161201,46.79,65.31,47.78,71.92
20170601,47.78,65.72,50.52,75.64
20171201,47.42,65.85,48.21,72.08
20180601,45.51,63.20,49.51,73.60
20181201,45.83,63.09,48.27,71.34
20190601,46.00,63.31,50.68,74.92
20191201,45.23,62.28,48.90,72.27
20200601,44.83,61.71,48.64,71.89
20201201,44.42,61.15,48.39,71.52
20210601,45.58,62.75,49.32,72.89
