date,New York_1,San Francisco_1,Austin_1,New York_2,San Francisco_2,Austin_2
20091201,47.00,64.58,1,45.54,66.74,1
20100601,46.93,63.97,2,45.42,66.78,2
20101201,45.58,61.90,3,44.07,63.88,3
20110601,45.90,61.61,4,44.95,64.58,4
20111201,46.17,62.45,5,44.06,62.55,5
20120601,47.30,63.53,6,46.79,66.13,6
20121201,46.22,61.51,7,44.50,62.02,7
20130601,46.94,62.32,8,48.11,66.45,8
20131201,43.93,61.03,9,43.54,64.40,9
20140601,44.34,61.92,10,41.67,62.20,10
20141201,44.45,63.03,11,44.76,67.71,11
20150601,45.05,63.71,12,46.92,70.74,12
20151201,45.99,64.63,13,45.11,68.42,13
20160601,46.43,65.08,14,49.14,73.94,14
20161201,46.79,65.31,15,47.78,71.92,15
20170601,47.78,65.72,16,50.52,75.64,16
20171201,47.42,65.85,17,48.21,72.08,17
20180601,45.51,63.20,18,49.51,73.60,18
20181201,45.83,63.09,19,48.27,71.34,19
20190601,46.00,63.31,20,50.68,74.92,20
20191201,45.23,62.28,21,48.90,72.27,21
20200601,44.83,61.71,22,48.64,71.89,22
20201201,44.42,61.15,23,48.39,71.52,23
20210601,45.58,62.75,24,49.32,72.89,24
