date,Participacion Global_1,Participacion Bruta_1,Participacion Global_2,Participacion Bruta_2
20091201,64.58,47.00,66.74,45.54
20100601,63.97,46.93,66.78,45.42
20101201,61.90,45.58,63.88,44.07
20110601,61.61,45.90,64.58,44.95
20111201,62.45,46.17,62.55,44.06
20120601,63.53,47.30,66.13,46.79
20121201,61.51,46.22,62.02,44.50
20130601,62.32,46.94,66.45,48.11
20131201,61.03,43.93,64.40,43.54
20140601,61.92,44.34,62.20,41.67
20141201,63.03,44.45,67.71,44.76
20150601,63.71,45.05,70.74,46.92
20151201,64.63,45.99,68.42,45.11
20160601,65.08,46.43,73.94,49.14
20161201,65.31,46.79,71.92,47.78
20170601,65.72,47.78,75.64,50.52
20171201,65.85,47.42,72.08,48.21
20180601,63.20,45.51,73.60,49.51
20181201,63.09,45.83,71.34,48.27
20190601,63.31,46.00,74.92,50.68
20191201,62.28,45.23,72.27,48.90
20200601,61.71,44.83,71.89,48.64
20201201,61.15,44.42,71.52,48.39
20210601,62.75,45.58,72.89,49.32
