date;Participacion Global_1;Participacion Bruta_1;Participacion Global_2;Participacion Bruta_2
20071201;66.65;46.63;71.07;45.67
20080601;68.48;48.56;70.93;46.34
20081201;65.91;47.05;66.75;43.97
20091201;64.58;47.00;66.74;45.54
20100601;63.97;46.93;66.78;45.42
20101201;61.90;45.58;63.88;44.07
20110601;61.61;45.90;64.58;44.95
20111201;62.45;46.17;62.55;44.06
20120601;63.53;47.30;66.13;46.79
20121201;61.51;46.22;62.02;44.50
20130601;62.32;46.94;66.45;48.11
20131201;61.03;43.93;64.40;43.54
20140301;61.45;44.24;65.54;44.21
20140601;61.92;44.34;62.20;41.67
20140901;62.28;44.69;65.94;44.05
20141201;63.03;44.45;67.71;44.76
20150301;62.78;44.26;72.69;48.30
20150601;63.71;45.05;70.74;46.92
20150901;65.34;46.38;71.26;47.04
20151201;64.63;45.99;68.42;45.11
20160301;66.18;46.99;73.94;49.33
20160601;65.08;46.43;73.94;49.14
20160901;66.29;47.41;75.91;51.01
20161201;65.31;46.79;71.92;47.78
20170301;65.57;47.01;76.65;51.04
20170601;65.72;47.78;75.64;50.52
20170901;66.05;47.66;75.35;50.56
20171201;65.85;47.42;72.08;48.21
20180301;65.24;46.81;74.71;50.58
20180601;63.20;45.51;73.60;49.51
20180901;65.22;47.37;74.71;50.55
20181201;63.09;45.83;71.34;48.27
20190301;63.12;45.85;74.32;50.28
20190601;63.31;46.00;74.92;50.68
20190901;64.65;46.96;75.04;50.78
20191201;62.28;45.23;72.27;48.90
20200901;60.42;43.89;71.53;48.40
20201201;61.15;44.42;71.52;48.39
20210101;61.89;44.96;76.45;51.72
20210201;61.74;44.85;73.71;49.87
20210301;60.01;43.59;72.65;49.16
20210401;61.68;44.81;75.62;51.17
20210501;63.41;46.06;76.00;51.43
20210601;62.75;45.58;72.89;49.32
20210701;62.23;45.20;72.40;48.99
